customer_id,loan_id,purpose,tenure,interest_rate,debt_to_income,vehicle_type,education,occupation,job_title,job_industry,income_type,criminal_record,marital_status,age,income_class,num_work_year,num_dependent,house_type,length_of_stay,residency_status,house_ownership,earning_members,vehicle_own,is_phone_number_owner,dpd_m1,col_m1,utilization_per_credit_account,utilization_per_credit_amount,latest_per_total_payment_m1,age_oldest_account,datetime
CUST15,LOAN16,CONSUMPTIVE,56,10.73,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,18,1,0.49,,,5,2025-02-03 11:12:32.630226
CUST15,LOAN17,PRODUCTIVE,57,10.83,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,19,1,0.48,0.49,0.5,5,2025-02-03 11:12:32.630226
CUST12,LOAN18,PRODUCTIVE,57,10.9,0.05,,MASTER'S DEGREE,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,BUSINESS TURNOVER/DIVIDEND,NO,SINGLE,37,28,9,1,APARTMENT,9,PERMANENT,,2,2,YES,20,1,0.48,,,,2025-02-03 11:12:32.630226
CUST13,LOAN19,CONSUMPTIVE,57,10.94,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,28,10,1,APARTMENT,10,PERMANENT,,2,2,YES,21,1,0.48,0.48,0.48,4,2025-02-03 11:12:32.630226
CUST16,LOAN20,CONSUMPTIVE,59,11.15,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,22,1,0.47,,,,2025-02-03 11:12:32.630226
CUST17,LOAN21,PRODUCTIVE,61,11.18,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,25,10,2,APARTMENT,10,PERMANENT,,2,2,YES,36,2,0.45,,,,2025-02-03 11:12:32.630226
CUST18,LOAN22,PRODUCTIVE,62,11.19,0.05,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,25,10,2,APARTMENT,11,PERMANENT,,2,2,YES,37,2,0.45,0.46,0.47,3,2025-02-03 11:12:32.630226
CUST18,LOAN23,PRODUCTIVE,63,11.29,0.05,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,25,10,2,APARTMENT,11,PERMANENT,,2,2,YES,57,2,0.45,0.45,0.47,2,2025-02-03 11:12:32.630226
CUST19,LOAN24,PRODUCTIVE,65,11.3,0.1,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,24,10,2,APARTMENT,11,PERMANENT,,2,2,YES,59,2,0.45,,,,2025-02-03 11:12:32.630226
CUST19,LOAN25,PRODUCTIVE,66,11.31,0.1,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,24,10,2,APARTMENT,11,PERMANENT,,2,2,YES,63,2,0.44,0.44,,0,2025-02-03 11:12:32.630226
CUST17,LOAN26,PRODUCTIVE,67,11.33,0.1,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,25,10,2,APARTMENT,10,PERMANENT,,2,2,YES,78,2,0.44,0.43,,0,2025-02-03 11:12:32.630226
CUST20,LOAN27,PRODUCTIVE,69,11.55,0.1,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,39,23,11,2,APARTMENT,11,PERMANENT,,2,1,YES,78,2,0.44,,,0,2025-02-03 11:12:32.630226
CUST20,LOAN28,CONSUMPTIVE,70,11.66,0.1,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,39,23,11,2,APARTMENT,11,PERMANENT,,2,1,YES,94,3,0.41,,,0,2025-02-03 11:12:32.630226
CUST20,LOAN29,PRODUCTIVE,72,11.73,0.15,,DOCTORAL DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,39,23,11,2,APARTMENT,11,PERMANENT,,2,1,YES,102,3,0.4,,,0,2025-02-03 11:12:32.630226
CUST21,LOAN30,CONSUMPTIVE,74,11.84,0.2,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,39,23,11,2,KOS,11,PERMANENT,,2,1,YES,174,3,0.39,,,,2025-02-03 11:12:32.630226
CUST21,LOAN31,PRODUCTIVE,75,11.88,0.2,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,39,23,11,2,KOS,11,PERMANENT,,2,1,YES,181,4,0.38,,,,2025-02-03 11:12:32.630226
CUST22,LOAN32,PRODUCTIVE,85,11.9,0.25,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,40,23,11,2,KOS,11,PERMANENT,,2,1,YES,198,4,0.36,,,,2025-02-03 11:12:32.630226
CUST22,LOAN33,CONSUMPTIVE,86,11.93,0.35,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,40,23,11,2,KOS,11,PERMANENT,,2,1,YES,285,5,0.36,0.35,,0,2025-02-03 11:12:32.630226
CUST22,LOAN34,PRODUCTIVE,87,11.95,0.35,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,40,23,11,2,KOS,11,PERMANENT,,2,1,YES,291,5,0.33,,,,2025-02-03 11:12:32.630226
CUST21,LOAN35,CONSUMPTIVE,92,12.22,0.35,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,NO,MARRIED,39,23,11,2,KOS,11,PERMANENT,,2,1,YES,340,5,0.31,,,0,2025-02-03 11:12:32.630226
CUST23,LOAN36,CONSUMPTIVE,29,9.55,0.05,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,MARRIED,40,22,11,2,KOS,11,TEMPORARY,,1,1,NO,2,1,0.69,,,,2025-02-03 11:12:32.630226
CUST24,LOAN37,PRODUCTIVE,35,9.81,0.05,,DOCTORAL DEGREE,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,MARRIED,41,22,11,2,KOS,12,TEMPORARY,,1,1,NO,3,1,0.69,,,,2025-02-03 11:12:32.630226
CUST25,LOAN38,CONSUMPTIVE,38,9.89,0.05,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,41,21,11,2,KOS,12,TEMPORARY,,1,1,NO,3,1,0.63,,,,2025-02-03 11:12:32.630226
CUST16,LOAN39,CONSUMPTIVE,40,9.93,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,38,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,4,1,0.62,0.61,0.61,16,2025-02-03 11:12:32.630226
CUST26,LOAN40,PRODUCTIVE,41,10.12,0.05,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,41,21,11,2,KOS,12,TEMPORARY,,1,1,NO,6,1,0.6,,,,2025-02-03 11:12:32.630226
CUST27,LOAN41,CONSUMPTIVE,43,10.2,0.05,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,42,20,11,2,KOS,12,TEMPORARY,,1,1,NO,10,1,0.58,0.59,0.59,14,2025-02-03 11:12:32.630226
CUST28,LOAN42,CONSUMPTIVE,44,10.26,0.05,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,42,20,11,2,KOS,13,TEMPORARY,,1,1,NO,12,1,0.58,,,13,2025-02-03 11:12:32.630226
CUST28,LOAN43,CONSUMPTIVE,46,10.27,0.05,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,42,20,11,2,KOS,13,TEMPORARY,,1,1,NO,12,1,0.58,0.57,,12,2025-02-03 11:12:32.630226
CUST29,LOAN44,CONSUMPTIVE,46,10.32,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,SALARY,YES,DIVORCED,42,18,12,2,KOS,13,TEMPORARY,,1,1,NO,13,1,0.57,0.56,,11,2025-02-03 11:12:32.630226
CUST29,LOAN45,CONSUMPTIVE,48,10.36,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,SALARY,YES,DIVORCED,42,18,12,2,KOS,13,TEMPORARY,,1,1,NO,17,1,0.55,,,8,2025-02-03 11:12:32.630226
CUST30,LOAN46,CONSUMPTIVE,52,10.39,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,SALARY,YES,DIVORCED,43,17,13,2,KOS,13,TEMPORARY,,1,1,NO,17,1,0.55,,,,2025-02-03 11:12:32.630226
CUST30,LOAN47,PRODUCTIVE,53,10.78,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,SALARY,YES,DIVORCED,43,17,13,2,KOS,13,TEMPORARY,,1,1,NO,18,1,0.54,,,,2025-02-03 11:12:32.630226
CUST31,LOAN48,PRODUCTIVE,56,10.93,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,43,17,13,2,LAIN-LAIN,14,TEMPORARY,,1,1,NO,20,1,0.53,,,,2025-02-03 11:12:32.630226
CUST31,LOAN49,CONSUMPTIVE,58,11.17,0.05,,SECONDARY HIGH SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,43,17,13,2,LAIN-LAIN,14,TEMPORARY,,1,1,NO,24,1,0.53,,,6,2025-02-03 11:12:32.630226
CUST32,LOAN50,CONSUMPTIVE,60,11.2,0.05,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,46,16,13,2,LAIN-LAIN,14,TEMPORARY,,1,1,NO,26,1,0.53,0.55,,5,2025-02-03 11:12:32.630226
CUST32,LOAN51,CONSUMPTIVE,60,11.21,0.05,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,46,16,13,2,LAIN-LAIN,14,TEMPORARY,,1,1,NO,27,1,0.53,,,,2025-02-03 11:12:32.630226
CUST33,LOAN52,PRODUCTIVE,61,11.23,0.05,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,46,15,14,2,LAIN-LAIN,15,TEMPORARY,,1,1,NO,28,1,0.53,,,4,2025-02-03 11:12:32.630226
CUST33,LOAN53,CONSUMPTIVE,62,11.23,0.1,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,46,15,14,2,LAIN-LAIN,15,TEMPORARY,,1,1,NO,29,1,0.53,0.52,,2,2025-02-03 11:12:32.630226
CUST26,LOAN54,PRODUCTIVE,62,11.25,0.1,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,41,21,11,2,KOS,12,TEMPORARY,,1,1,NO,30,1,0.53,0.52,,2,2025-02-03 11:12:32.630226
CUST27,LOAN55,PRODUCTIVE,63,11.26,0.1,,SECONDARY HIGH SCHOOL,PRIVATE EMPLOYEE,SENIOR STAFF,INDUSTRI PERDAGANGAN & LOGISTIK,SALARY,YES,DIVORCED,42,20,11,2,KOS,12,TEMPORARY,,1,1,NO,36,2,0.52,0.52,0.49,1,2025-02-03 11:12:32.630226
CUST34,LOAN56,PRODUCTIVE,64,11.27,0.15,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,47,13,14,2,LAIN-LAIN,16,TEMPORARY,,1,1,NO,37,2,0.52,0.51,0.48,1,2025-02-03 11:12:32.630226
CUST35,LOAN57,CONSUMPTIVE,65,11.31,0.15,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,48,12,15,2,LAIN-LAIN,17,TEMPORARY,,1,0,NO,48,2,0.52,,,1,2025-02-03 11:12:32.630226
CUST35,LOAN58,CONSUMPTIVE,66,11.31,0.15,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,48,12,15,2,LAIN-LAIN,17,TEMPORARY,,1,0,NO,53,2,0.49,,,1,2025-02-03 11:12:32.630226
CUST35,LOAN59,CONSUMPTIVE,68,11.37,0.15,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,48,12,15,2,LAIN-LAIN,17,TEMPORARY,,1,0,NO,70,2,0.48,,,,2025-02-03 11:12:32.630226
CUST36,LOAN60,CONSUMPTIVE,69,11.43,0.15,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,25,41,7,1,RUMAH,5,PERMANENT,,2,3,YES,77,2,0.43,,,,2025-02-03 11:12:32.630226
CUST37,LOAN61,PRODUCTIVE,71,11.47,0.15,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,37,7,1,RUMAH,8,PERMANENT,,2,2,YES,128,3,0.43,0.46,0.43,0,2025-02-03 11:12:32.630226
CUST37,LOAN62,CONSUMPTIVE,74,11.59,0.15,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,37,7,1,RUMAH,8,PERMANENT,,2,2,YES,137,3,0.42,,,0,2025-02-03 11:12:32.630226
CUST34,LOAN63,PRODUCTIVE,74,11.7,0.2,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,47,13,14,2,LAIN-LAIN,16,TEMPORARY,,1,1,NO,168,3,0.42,0.41,,0,2025-02-03 11:12:32.630226
CUST36,LOAN64,CONSUMPTIVE,75,11.71,0.2,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,25,41,7,1,RUMAH,5,PERMANENT,,2,3,YES,180,3,0.42,,,0,2025-02-03 11:12:32.630226
CUST36,LOAN65,CONSUMPTIVE,80,11.74,0.2,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,25,41,7,1,RUMAH,5,PERMANENT,,2,3,YES,186,4,0.41,0.41,0.42,0,2025-02-03 11:12:32.630226
CUST38,LOAN66,CONSUMPTIVE,84,11.87,0.25,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,35,7,1,RUMAH,8,PERMANENT,,2,2,YES,214,4,0.4,,,,2025-02-03 11:12:32.630226
CUST38,LOAN67,CONSUMPTIVE,87,12.04,0.25,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,35,7,1,RUMAH,8,PERMANENT,,2,2,YES,224,4,0.38,,,0,2025-02-03 11:12:32.630226
CUST38,LOAN68,PRODUCTIVE,93,12.18,0.35,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,35,7,1,RUMAH,8,PERMANENT,,2,2,YES,239,4,0.38,0.38,0.34,0,2025-02-03 11:12:32.630226
CUST37,LOAN69,PRODUCTIVE,98,12.68,0.6,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,37,7,1,RUMAH,8,PERMANENT,,2,2,YES,295,5,0.37,,,0,2025-02-03 11:12:32.630226
CUST34,LOAN70,PRODUCTIVE,102,12.71,0.6,,ELEMENTARY SCHOOL,DAILY WORKER,STAFF,INDUSTRI SUMBER DAYA & KEBUTUHAN POKOK,PENSION,YES,DIVORCED,47,13,14,2,LAIN-LAIN,16,TEMPORARY,,1,1,NO,315,5,0.34,,,0,2025-02-03 11:12:32.630226
CUST39,LOAN71,PRODUCTIVE,27,8.08,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,35,8,1,RUMAH,8,PERMANENT,,2,2,YES,1,1,0.71,,,20,2025-02-03 11:12:32.630226
CUST40,LOAN72,PRODUCTIVE,30,9.63,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,34,33,8,1,RUMAH,8,PERMANENT,,2,2,YES,5,1,0.66,0.62,,19,2025-02-03 11:12:32.630226
CUST41,LOAN73,PRODUCTIVE,34,9.71,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,34,32,8,1,RUMAH,9,PERMANENT,,2,2,YES,5,1,0.63,0.6,0.65,17,2025-02-03 11:12:32.630226
CUST41,LOAN74,PRODUCTIVE,41,9.71,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,34,32,8,1,RUMAH,9,PERMANENT,,2,2,YES,6,1,0.63,,,,2025-02-03 11:12:32.630226
CUST42,LOAN75,PRODUCTIVE,43,9.87,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,35,32,8,1,RUMAH,9,PERMANENT,,2,2,YES,7,1,0.61,0.57,0.65,15,2025-02-03 11:12:32.630226
CUST42,LOAN76,PRODUCTIVE,48,9.88,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,35,32,8,1,RUMAH,9,PERMANENT,,2,2,YES,7,1,0.59,,,14,2025-02-03 11:12:32.630226
CUST43,LOAN77,CONSUMPTIVE,48,10.08,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,35,31,8,1,RUMAH,9,PERMANENT,,2,2,YES,8,1,0.58,,,,2025-02-03 11:12:32.630226
CUST44,LOAN78,PRODUCTIVE,49,10.12,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,35,31,9,1,RUMAH,9,PERMANENT,,2,2,YES,11,1,0.58,0.56,0.59,14,2025-02-03 11:12:32.630226
CUST45,LOAN79,PRODUCTIVE,49,10.17,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,36,31,9,1,RUMAH,9,PERMANENT,,2,2,YES,14,1,0.58,0.54,0.57,12,2025-02-03 11:12:32.630226
